candidate_id,source,source_type,original_id,name,label,definition,question_text,raw_category,primary_category,subcategory,data_type,values_json,evidence_level,inclusion_tier,theoretical_basis,license_notes,source_url,extraction_method,include_high_quality,quality_score,notes,canonical_label,canonical_name,normalized_primary_category,normalized_subcategory,normalized_definition,normalized_data_type,measurement_level,normalized_value_schema_json,source_family,quality_tier,normalized_quality_score,license_risk,dedup_key_strict,dedup_key_loose,alias_candidates_json,review_flags_json,needs_review,is_questionnaire_item,is_construct,is_dataset_field,is_domain_label,is_generated_or_mined,application_relevance,category_changed_from_aggregate,final_primary_category,final_subcategory,category_refinement_reason,step3_dedup_key_strict,step3_dedup_key_loose,exclusion_reason,step3_status
apple_ml_primex__primex_worldview_opinion_demographic_variable_col_134__499e8dcc22,Apple ML-PrimeX,public_opinion_worldview_dataset_variable,col_134,other_languages_at_home_other_please_specify_text,Other languages at home - Other - please specify - Text,Other languages at home - Other - please specify - Text,Other languages at home - Other - please specify - Text,PrimeX worldview/opinion/demographic variable,Demographics & Population Grounding,demographics,unknown_or_scale,[],Medium,B_research_dataset_variable,"PrimeX: worldview, opinion, explanation; includes PI-18 Primal World Beliefs","CC BY-NC-ND 4.0; use for grounding/inspiration, not direct derived redistribution without review",https://github.com/apple/ml-primex,csv_column_extraction_filtered,True,84,,Other languages at home - Other - please specify - Text,other_languages_at_home_other_please_specify_text,Demographics & Population Grounding,demographic variables,Questionnaire item capturing Other languages at home - Other - please specify - Text.,unknown_or_source_defined,source_defined,"{""scale_type"": ""unknown/source-defined""}",research_dataset,B,84,medium_high,demographics_and_population_grounding::other_languages_at_home_other_please_specify_text,demographics_and_population_grou::home_language_other_please_specify_text,"[""Other languages at home - Other - please specify - Text"", ""other languages at home other please specify text"", ""col 134""]","[""needs_value_schema_or_codebook_lookup""]",True,False,False,False,False,False,population_grounding_sampling_and_fairness_analysis,False,Demographics & Population Grounding,demographic variables,kept_normalized_category,demographics_and_population_grounding::other_languages_at_home_other_please_specify_text,demographics_and_population_grounding::home_language_other_please_specify_text,other_specify_field_not_attribute,excluded_non_attribute_artifact
apple_ml_primex__primex_worldview_opinion_demographic_variable_col_133__9ad3777d86,Apple ML-PrimeX,public_opinion_worldview_dataset_variable,col_133,other_languages_at_home_selected_choice_other_please_specify,Other languages at home - Selected Choice - Other - please specify,Other languages at home - Selected Choice - Other - please specify,Other languages at home - Selected Choice - Other - please specify,PrimeX worldview/opinion/demographic variable,Demographics & Population Grounding,demographics,unknown_or_scale,[],Medium,B_research_dataset_variable,"PrimeX: worldview, opinion, explanation; includes PI-18 Primal World Beliefs","CC BY-NC-ND 4.0; use for grounding/inspiration, not direct derived redistribution without review",https://github.com/apple/ml-primex,csv_column_extraction_filtered,True,84,,Other languages at home - Selected Choice - Other - please specify,other_languages_at_home_selected_choice_other_please_specify,Demographics & Population Grounding,demographic variables,Questionnaire item capturing Other languages at home - Selected Choice - Other - please specify.,unknown_or_source_defined,source_defined,"{""scale_type"": ""unknown/source-defined""}",research_dataset,B,84,medium_high,demographics_and_population_grounding::other_languages_at_home_selected_choice_other_please_specify,demographics_and_population_grou::choice_home_language_other_please_selected_specify,"[""Other languages at home - Selected Choice - Other - please specify"", ""other languages at home selected choice other please specify"", ""col 133""]","[""needs_value_schema_or_codebook_lookup""]",True,False,False,False,False,False,population_grounding_sampling_and_fairness_analysis,False,Demographics & Population Grounding,demographic variables,kept_normalized_category,demographics_and_population_grounding::other_languages_at_home_selected_choice_other_please_specify,demographics_and_population_grounding::choice_home_language_other_please_selected_specify,other_specify_field_not_attribute,excluded_non_attribute_artifact
apple_ml_primex__primex_worldview_opinion_demographic_variable_col_29__dd3044ccdc,Apple ML-PrimeX,public_opinion_worldview_dataset_variable,col_29,please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_cou,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion.","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion.","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion.",PrimeX worldview/opinion/demographic variable,"Values, Goals & Motivations",values goals and motivations,unknown_or_scale,[],Medium,B_research_dataset_variable,"PrimeX: worldview, opinion, explanation; includes PI-18 Primal World Beliefs","CC BY-NC-ND 4.0; use for grounding/inspiration, not direct derived redistribution without review",https://github.com/apple/ml-primex,csv_column_extraction_filtered,True,84,,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion.",please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone,"Worldview, Beliefs & Attitudes",belief explanations,"Questionnaire item capturing Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..",free_text,free_text,"{""scale_type"": ""open-ended text response""}",research_dataset,B,84,medium_high,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_unde,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,"[""Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion."", ""please explain your answer to the question above provide 2 4 sentences which cou"", ""col 29"", ""please explain your answer to the question above provide 2 4 sentences which could help someone""]","[""free_text_should_be_structured_before_final_schema""]",True,True,False,False,False,False,survey_social_science_policy_and_alignment,True,"Worldview, Beliefs & Attitudes",belief explanations,kept_normalized_category,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_understand_why,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,explanation_prompt_not_attribute,excluded_non_attribute_artifact
apple_ml_primex__primex_worldview_opinion_demographic_variable_col_35__9fd9ca5c73,Apple ML-PrimeX,public_opinion_worldview_dataset_variable,col_35,please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_cou,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..1","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..1","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..1",PrimeX worldview/opinion/demographic variable,"Values, Goals & Motivations",values goals and motivations,unknown_or_scale,[],Medium,B_research_dataset_variable,"PrimeX: worldview, opinion, explanation; includes PI-18 Primal World Beliefs","CC BY-NC-ND 4.0; use for grounding/inspiration, not direct derived redistribution without review",https://github.com/apple/ml-primex,csv_column_extraction_filtered,True,84,,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..1",please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone,"Worldview, Beliefs & Attitudes",belief explanations,"Questionnaire item capturing Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..1.",free_text,free_text,"{""scale_type"": ""open-ended text response""}",research_dataset,B,84,medium_high,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_unde,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,"[""Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..1"", ""please explain your answer to the question above provide 2 4 sentences which cou"", ""col 35"", ""please explain your answer to the question above provide 2 4 sentences which could help someone""]","[""free_text_should_be_structured_before_final_schema""]",True,True,False,False,False,False,survey_social_science_policy_and_alignment,True,"Worldview, Beliefs & Attitudes",belief explanations,kept_normalized_category,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_understand_why,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,explanation_prompt_not_attribute,excluded_non_attribute_artifact
apple_ml_primex__primex_worldview_opinion_demographic_variable_col_41__2db10b2256,Apple ML-PrimeX,public_opinion_worldview_dataset_variable,col_41,please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_cou,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..2","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..2","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..2",PrimeX worldview/opinion/demographic variable,"Values, Goals & Motivations",values goals and motivations,unknown_or_scale,[],Medium,B_research_dataset_variable,"PrimeX: worldview, opinion, explanation; includes PI-18 Primal World Beliefs","CC BY-NC-ND 4.0; use for grounding/inspiration, not direct derived redistribution without review",https://github.com/apple/ml-primex,csv_column_extraction_filtered,True,84,,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..2",please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone,"Worldview, Beliefs & Attitudes",belief explanations,"Questionnaire item capturing Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..2.",free_text,free_text,"{""scale_type"": ""open-ended text response""}",research_dataset,B,84,medium_high,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_unde,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,"[""Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..2"", ""please explain your answer to the question above provide 2 4 sentences which cou"", ""col 41"", ""please explain your answer to the question above provide 2 4 sentences which could help someone""]","[""free_text_should_be_structured_before_final_schema""]",True,True,False,False,False,False,survey_social_science_policy_and_alignment,True,"Worldview, Beliefs & Attitudes",belief explanations,kept_normalized_category,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_understand_why,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,explanation_prompt_not_attribute,excluded_non_attribute_artifact
apple_ml_primex__primex_worldview_opinion_demographic_variable_col_54__b7429f0850,Apple ML-PrimeX,public_opinion_worldview_dataset_variable,col_54,please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_cou,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..3","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..3","Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..3",PrimeX worldview/opinion/demographic variable,"Values, Goals & Motivations",values goals and motivations,unknown_or_scale,[],Medium,B_research_dataset_variable,"PrimeX: worldview, opinion, explanation; includes PI-18 Primal World Beliefs","CC BY-NC-ND 4.0; use for grounding/inspiration, not direct derived redistribution without review",https://github.com/apple/ml-primex,csv_column_extraction_filtered,True,84,,"Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..3",please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone,"Worldview, Beliefs & Attitudes",belief explanations,"Questionnaire item capturing Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..3.",free_text,free_text,"{""scale_type"": ""open-ended text response""}",research_dataset,B,84,medium_high,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_unde,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,"[""Please explain your answer to the question above. Provide 2-4 sentences which could help someone understand why you have the opinion you have. Your explanation can draw on any aspect of your personal history, social life, experiences, thoughts, feelings, beliefs, or values. Please don't simply repeat your opinion; try to explain *why* you have that opinion..3"", ""please explain your answer to the question above provide 2 4 sentences which cou"", ""col 54"", ""please explain your answer to the question above provide 2 4 sentences which could help someone""]","[""free_text_should_be_structured_before_final_schema""]",True,True,False,False,False,False,survey_social_science_policy_and_alignment,True,"Worldview, Beliefs & Attitudes",belief explanations,kept_normalized_category,worldview_beliefs_and_attitudes::please_explain_your_answer_to_the_question_above_provide_2_4_sentences_which_could_help_someone_understand_why,worldview_beliefs_and_attitudes::above_answer_any_aspect_belief_can_could_don_draw_experience_explain_explanation,explanation_prompt_not_attribute,excluded_non_attribute_artifact
